data,unidade,material,tipo,quantidade,responsavel
2025-01-12,Santo Amaro,Tubo,saida,-5.04,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-4.93,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-4.95,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-5.04,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-5.37,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-4.78,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-5.31,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-4.66,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-5.30,Vincent
2025-01-12,Santo Amaro,Tubo,saida,-4.61,Vincent
2025-03-14,Moema,Seringa,saida,-3.02,Mason
2025-03-14,Moema,Seringa,saida,-3.01,Mason
2025-03-14,Moema,Seringa,saida,-3.05,Mason
2025-03-14,Moema,Seringa,saida,-2.97,Mason
2025-03-14,Moema,Seringa,saida,-2.83,Mason
2025-03-14,Moema,Seringa,saida,-2.80,Mason
2025-03-14,Moema,Seringa,saida,-2.76,Mason
2025-03-14,Moema,Seringa,saida,-2.84,Mason
2025-03-14,Moema,Seringa,saida,-2.87,Mason
2025-03-14,Moema,Seringa,saida,-3.05,Mason
2025-02-09,Santo Amaro,Seringa,saida,-5.36,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-4.69,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-4.78,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-5.28,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-5.34,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-5.37,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-4.94,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-5.00,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-4.69,Kenneth
2025-02-09,Santo Amaro,Seringa,saida,-5.27,Kenneth
2025-03-23,Santo Amaro,Seringa,saida,-13.89,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-13.64,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-14.31,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-14.56,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-13.81,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-13.23,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-13.53,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-13.60,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-14.64,Jeffrey
2025-03-23,Santo Amaro,Seringa,saida,-14.65,Jeffrey
2024-12-13,Morumbi,Medicamentos,saida,-10.27,Robert
2024-12-13,Morumbi,Medicamentos,saida,-10.37,Robert
2024-12-13,Morumbi,Medicamentos,saida,-9.28,Robert
2024-12-13,Morumbi,Medicamentos,saida,-9.49,Robert
2024-12-13,Morumbi,Medicamentos,saida,-10.27,Robert
2024-12-13,Morumbi,Medicamentos,saida,-10.32,Robert
2024-12-13,Morumbi,Medicamentos,saida,-10.67,Robert
2024-12-13,Morumbi,Medicamentos,saida,-10.56,Robert
2024-12-13,Morumbi,Medicamentos,saida,-9.99,Robert
2024-12-13,Morumbi,Medicamentos,saida,-9.54,Robert
2025-05-12,Moema,Medicamentos,saida,-14.43,Debra
2025-05-12,Moema,Medicamentos,saida,-13.34,Debra
2025-05-12,Moema,Medicamentos,saida,-13.08,Debra
2025-05-12,Moema,Medicamentos,saida,-12.93,Debra
2025-05-12,Moema,Medicamentos,saida,-14.70,Debra
2025-05-12,Moema,Medicamentos,saida,-14.79,Debra
2025-05-12,Moema,Medicamentos,saida,-14.78,Debra
2025-05-12,Moema,Medicamentos,saida,-12.91,Debra
2025-05-12,Moema,Medicamentos,saida,-13.61,Debra
2025-05-12,Moema,Medicamentos,saida,-14.57,Debra
2025-03-15,Santo Amaro,Esparadrapo,saida,-9.25,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-9.42,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-9.95,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-9.30,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-9.67,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-9.79,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-9.58,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-10.68,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-10.34,Hannah
2025-03-15,Santo Amaro,Esparadrapo,saida,-10.39,Hannah
2025-03-26,Santo Amaro,Seringa,saida,-8.51,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-8.45,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-8.50,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-9.63,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-8.68,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-9.18,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-8.96,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-8.59,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-8.30,Leslie
2025-03-26,Santo Amaro,Seringa,saida,-9.36,Leslie
2025-05-09,Moema,Esparadrapo,saida,-1.87,Michael
2025-05-09,Moema,Esparadrapo,saida,-2.00,Michael
2025-05-09,Moema,Esparadrapo,saida,-1.99,Michael
2025-05-09,Moema,Esparadrapo,saida,-1.90,Michael
2025-05-09,Moema,Esparadrapo,saida,-1.91,Michael
2025-05-09,Moema,Esparadrapo,saida,-1.85,Michael
2025-05-09,Moema,Esparadrapo,saida,-1.89,Michael
2025-05-09,Moema,Esparadrapo,saida,-2.13,Michael
2025-05-09,Moema,Esparadrapo,saida,-2.15,Michael
2025-05-09,Moema,Esparadrapo,saida,-1.85,Michael
2025-04-08,Santo Amaro,Seringa,saida,-16.82,James
2025-04-08,Santo Amaro,Seringa,saida,-17.72,James
2025-04-08,Santo Amaro,Seringa,saida,-15.69,James
2025-04-08,Santo Amaro,Seringa,saida,-17.46,James
2025-04-08,Santo Amaro,Seringa,saida,-16.19,James
2025-04-08,Santo Amaro,Seringa,saida,-15.89,James
2025-04-08,Santo Amaro,Seringa,saida,-17.29,James
2025-04-08,Santo Amaro,Seringa,saida,-15.96,James
2025-04-08,Santo Amaro,Seringa,saida,-16.41,James
2025-04-08,Santo Amaro,Seringa,saida,-16.89,James
2025-02-04,Santo Amaro,Medicamentos,saida,-19.47,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-18.41,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-17.87,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-19.30,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-17.60,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-19.48,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-19.74,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-19.15,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-19.35,Derek
2025-02-04,Santo Amaro,Medicamentos,saida,-19.35,Derek
2025-02-13,Moema,Medicamentos,saida,-4.74,Lynn
2025-02-13,Moema,Medicamentos,saida,-5.26,Lynn
2025-02-13,Moema,Medicamentos,saida,-4.84,Lynn
2025-02-13,Moema,Medicamentos,saida,-4.71,Lynn
2025-02-13,Moema,Medicamentos,saida,-5.05,Lynn
2025-02-13,Moema,Medicamentos,saida,-5.04,Lynn
2025-02-13,Moema,Medicamentos,saida,-4.99,Lynn
2025-02-13,Moema,Medicamentos,saida,-4.91,Lynn
2025-02-13,Moema,Medicamentos,saida,-5.27,Lynn
2025-02-13,Moema,Medicamentos,saida,-5.12,Lynn
2024-11-19,Santo Amaro,Seringa,saida,-8.08,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-8.25,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-8.07,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-8.16,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-8.19,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-7.69,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-8.39,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-8.37,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-7.42,Brandon
2024-11-19,Santo Amaro,Seringa,saida,-7.76,Brandon
2025-05-17,Moema,Medicamentos,saida,-11.38,Lisa
2025-05-17,Moema,Medicamentos,saida,-11.48,Lisa
2025-05-17,Moema,Medicamentos,saida,-12.36,Lisa
2025-05-17,Moema,Medicamentos,saida,-12.53,Lisa
2025-05-17,Moema,Medicamentos,saida,-12.43,Lisa
2025-05-17,Moema,Medicamentos,saida,-11.47,Lisa
2025-05-17,Moema,Medicamentos,saida,-11.74,Lisa
2025-05-17,Moema,Medicamentos,saida,-12.60,Lisa
2025-05-17,Moema,Medicamentos,saida,-11.12,Lisa
2025-05-17,Moema,Medicamentos,saida,-11.29,Lisa
2024-11-26,Morumbi,Seringa,saida,-15.98,Jeremy
2024-11-26,Morumbi,Seringa,saida,-18.07,Jeremy
2024-11-26,Morumbi,Seringa,saida,-16.72,Jeremy
